PostalCode,Hotel_Name,Address
600-8372,Hotel WBF Gojo Omiya,Shimogyo-ku Minamimonzencho 467
600-8029,Kyoto Rich Hotel ,Shimogyo-ku Kawaramachi-dori Gojo-agaru 751
604-8365,Hotel M's Plus Shijo Omiya ,Nakagyo-ku Nishikioomiyacho 114
600-8424,Nest Hotel Kyoto Shijo Karasuma,Shimogyo-ku Sanno-cho 551
605-0086,Hotel Alza Kyoto,Higashiyama-ku Benzaitencho 3-33
601-8017,HOTEL M's EST KYOTO STATION SOUTH,"Minami-ku Higashikujo Kitakarasumacho 7, 7-5, 7-6"
604-0902,The Ritz-Carlton Kyoto,Nakagyo-ku Kamogawa Nijo-ohashi Hotori 
600-8022,GOOD NATURE HOTEL KYOTO,Shimogyo-ku Kawaramachi dori 2 chome Inaricho 318-6
605-0932,Four Seasons Hotel Kyoto,Higashiyama-ku Myohoin Maekawacho 445-3
604-0831,Tomoya Residence Hotel Kyoto,"Nakagyo-ku,Matsuya-cho 58"
606-8435,Kyoto Nanzenji Ryokan Yachiyo,Sakyou Nanzenji Fukuchi 34
605-0014,YADORU KYOTO HANARE Eigetsu,Higashiyama-ku Kitakinomoto-cho 520-1
605-0009,Kyoto Yura Hotel MGallery,Higashiyama-ku Ohashi-cho 84
605-0821,Luxury hotel SOWAKA,"Higashiyama-ku, Kiyoi-cho 480"
601-8005,Daiwa Royal Hotel Grande Kyoto,"15 Nishiiwamoto-cho, Higashikujo Minami-ku"
605-0052,The Westin Miyako Kyoto,Higashiyama-ku Awada Chika-cho 1
600-8216,The Thousand Kyoto,Shimogyo-ku Higashishiokojicho 570
604-8261,Kiraku Kyoto Aneyakoji,Nakagyo-ku Shikiamicho 118
606-8505,Grand Prince Hotel Kyoto,Sakyo-ku Takaragaike
605-0038,Kiraku Kyoto Higashiyama (Nazuna),Higashiyama-ku Horiikecho 379-2
600-8303,Kiraku Kyoto Zeniyacho,258 Zeniyacho Shimogyoku
606-8446,Aoi Philosophers Path Villa,Sakyo-ku Kitanobocho Nanzenji 10
605-0822,BenTen Residences,Higashiyama-ku Kamibentencho 431-3
600-8812,Maana Kyoto,"Shimogyo-ku, Chudoji Kitacho 33-6"
605-0074,Yuzuya Ryokan,Higashiyama-ku Gion-cho Minamigawa 545
616-8385,Suiran,Ukyo-ku Saga-Tenryuji Susukinobaba-cho 12
600-8499,the b kyoto shijo,Shimogyo-ku Shijodori Horikawa Nishiiru Karatsuyacho 535
604-8006,Hotel Gran Ms Kyoto,Nakagyo-ku Shimomaruya-cho 410-3
605-0802,Laon Inn Gion Nawate,Higashiyama-ku Yamato cho 16-1
600-8234,APA Hotel Kyoto Ekimae,Shimogyo-ku Nishinotoin Shiokoji-sagaru Minami Fudodo-cho 806
605-0918,Kyotoya Kiyomizugojo,Higashiyama-ku Kitatoryocho 317-6
605-0826,PARK HYATT KYOTO,"Higashiyama-ku, Kodaiji Masuyacho 360"
600-8445,Imu Hotel Kyoto,Shimogyo-ku Iwatoyamacho 411
604-8031,Hotel Resol Kyoto Kawaramachi Sanjo,Chuo-ku Kawaramachi Sanjo Sagaru Daikokucho 59-1
605-0941,Hyatt Regency Kyoto,Higashiyama-ku Sanjusangendo-Mawari 644-2
604-8422,TABITABI STAY _MOONLIGHT_,"Nakagyo-ku, Nishinokyo, Higashigekkocho 34-2"
600-8363,Kuraya Omiya Shimabara,Shimogyo-ku Omiya 2-575
605-0812,Kiraku Kyoto Gion,Higashiyama-ku Bishamoncho 46-10
604-8174,Villa Sanjomuromachi KYOTO,Nakagyo-ku Ennogyojacho 375
600-8042,THE GENERAL KYOTO Bukkoji Fuyacho,Shimogyo-ku Tawarayacho 298
